Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2016 / Data final: 31/07/2017.;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
05/02/2016;14,15;1,00052531;468.586.271.662,16;14,15;14,14;14,15;0,02;2154,98;
04/02/2016;14,15;1,00052531;508.713.690.983,08;14,15;14,14;14,15;0,02;1724,92;
03/02/2016;14,15;1,00052531;517.982.799.190,54;14,15;14,14;14,15;0,02;1500,87;
02/02/2016;14,15;1,00052531;505.313.661.912,77;14,15;14,14;14,15;0,02;811,79;
01/02/2016;14,15;1,00052531;508.556.347.180,82;14,15;14,14;14,15;0,02;1273,30;
29/01/2016;14,15;1,00052531;532.767.455.073,89;14,15;14,14;14,15;0,02;821,89;
28/01/2016;14,15;1,00052531;548.109.755.904,53;14,15;14,14;14,15;0,02;669,76;
27/01/2016;14,15;1,00052531;542.624.744.262,39;14,15;14,14;14,15;0,02;554,08;
26/01/2016;14,15;1,00052531;546.364.471.556,06;14,15;14,14;14,15;0,03;677,81;
25/01/2016;14,15;1,00052531;540.578.321.360,67;14,15;14,15;14,15;0,01;929,49;
22/01/2016;14,15;1,00052531;548.681.271.553,92;14,15;14,15;14,15;0,02;3536,11;
21/01/2016;14,15;1,00052531;587.521.446.958,77;14,15;14,14;14,15;0,02;582,58;
20/01/2016;14,15;1,00052531;679.160.917.809,47;14,15;14,14;14,15;0,05;187,84;
19/01/2016;14,15;1,00052531;710.742.093.962,21;14,15;14,14;14,15;0,02;848,48;
18/01/2016;14,15;1,00052531;737.410.469.745,44;14,15;14,14;14,15;0,02;753,56;
15/01/2016;14,15;1,00052531;722.243.254.522,00;14,15;14,14;14,15;0,02;720,89;
14/01/2016;14,15;1,00052531;736.125.574.857,22;14,15;14,14;14,15;0,01;1018,96;
13/01/2016;14,15;1,00052531;739.256.231.036,15;14,15;14,14;14,15;0,01;3871,28;
12/01/2016;14,15;1,00052531;743.012.256.590,46;14,15;14,14;14,15;0,02;7303,23;
11/01/2016;14,15;1,00052531;731.774.339.141,63;14,15;14,14;14,15;0,02;3377,89;
08/01/2016;14,15;1,00052531;733.433.768.212,28;14,15;14,14;14,15;0,02;2571,01;
07/01/2016;14,15;1,00052531;762.235.708.449,64;14,15;14,14;14,15;0,02;2516,37;
06/01/2016;14,15;1,00052531;765.909.824.620,26;14,15;14,14;14,15;0,02;2957,92;
05/01/2016;14,15;1,00052531;767.446.798.047,70;14,15;14,14;14,15;0,02;1636,22;
04/01/2016;14,15;1,00052531;732.324.123.687,19;14,15;14,14;14,15;0,03;1103,94;
